Source,Target,Weight
Neil Fraistat,Seth Denbo,2
Neil Fraistat,James Smith,2
Neil Fraistat,Emma Millon,1
Neil Fraistat,Dave Lester,2
Neil Fraistat,Travis Brown,4
Neil Fraistat,Elisabeth Kvernen,3
Neil Fraistat,Kirsten Keister,6
Neil Fraistat,Kristen Waters,1
Neil Fraistat,Doug Reside,5
Neil Fraistat,Beth Bonsignore,1
Neil Fraistat,Grant Dickie,1
Neil Fraistat,Richard Kuhta,1
Neil Fraistat,Jim Kuhn,1
Neil Fraistat,Richard Ovendon,1
Neil Fraistat,Michael Popham,2
Neil Fraistat,Tim Cole,1
Neil Fraistat,Herbert Van de Sompel ,1
Neil Fraistat,John Burns ,1
Neil Fraistat,Ron Chernich,1
Neil Fraistat,Daniel Cohen ,1
Neil Fraistat,Anna Gerber ,1
Neil Fraistat,Tom Habing,1
Neil Fraistat,Clare Llewellyn ,1
Neil Fraistat,Carole Palmer ,1
Neil Fraistat,Allen Renear ,1
Neil Fraistat,Robert Sanderson ,1
Neil Fraistat,Sean Takats ,1
Neil Fraistat,Jane Hunter ,1
Neil Fraistat,Trevor Muñoz,4
Neil Fraistat,Jennifer Guiliano,3
Neil Fraistat,David Brookshire,1
Neil Fraistat,Amanda Visconti,2
Neil Fraistat,Jessica Worley,1
Neil Fraistat,Raffaele Viglianti,3
Neil Fraistat,Elizabeth Denlinger,1
Neil Fraistat,Stephanie Sapienza,6
Neil Fraistat,Richard Ovenden,1
Neil Fraistat,Leslie Morris,1
Neil Fraistat,Wendell Piez,1
Neil Fraistat,Jamie Andrews,1
Neil Fraistat,Rachel Foss,1
Neil Fraistat,Matthew Kirschenbaum,3
Neil Fraistat,Rachel Donahue,1
Neil Fraistat,Henry Lowood,1
Neil Fraistat,Susan Rojo,1
Neil Fraistat,Andrew Phelps,1
Neil Fraistat,Jerry McDonough,1
Neil Fraistat,Michael Shanks,1
Neil Fraistat,Kari Krauss,1
Neil Fraistat,Patricia Hswe,1
Neil Fraistat,Carl Stahmer,1
Neil Fraistat,Ketan Patil,1
Neil Fraistat,Gregory Lord,1
Neil Fraistat,Arik Lubkin,1
Neil Fraistat,Ralph Bauer,1
Neil Fraistat,Geneva Henry,1
Neil Fraistat,Caroline Levander,1
Neil Fraistat,Luis Jáuregui Frías,1
Neil Fraistat,Brett Bobley ,1
Neil Fraistat,Fred Winter,1
Neil Fraistat,Bernie Frischer,1
Neil Fraistat,Mark Kornbluh,1
Neil Fraistat,Daniel Pitti,1
Neil Fraistat,Roy Rosenzweig,1
Neil Fraistat,John Unsworth,1
Neil Fraistat,Kay Walter,1
Neil Fraistat,Brett Barney,1
Neil Fraistat,Claire Warwick,1
Neil Fraistat,Willard McCarty,1
Neil Fraistat,Allen Renear,1
Neil Fraistat,Michael Eberle-Sinatra,1
Neil Fraistat,Stéfan Sinclair,1
Neil Fraistat,John Nerbonne,1
Neil Fraistat,Jan Rybicki,1
Neil Fraistat,Paul Spence,1
Neil Fraistat,Ed Summers,3
Neil Fraistat,Porter Olsen,1
Neil Fraistat,Ben Shneiderman,1
Neil Fraistat,Laura Wruble,1
Neil Fraistat,Joshua Westgard,1
Neil Fraistat,Cody Buntain,1
Neil Fraistat,Nicolas Diakopoulos,1
Neil Fraistat,Jen Golbeck,1
Neil Fraistat,Ricky Punzalan,1
Neil Fraistat,Katie Shilton,1
Neil Fraistat,Catherine Knight Steele,2
Neil Fraistat,Bonnie Thornton Dill,1
Neil Fraistat,Sheri Parks,1
Neil Fraistat,Babak Hamidzadeh,1
Neil Fraistat,Dan Mack,1
Neil Fraistat,Doug McElrath,1
Neil Fraistat,Nathan Putnam,1
Neil Fraistat,Bria Parker,1
Neil Fraistat,Jen Eidson,1
Neil Fraistat,Curlee Holton,1
Neil Fraistat,Stephanie Maxwell,1
Neil Fraistat,Julie Green,1
Neil Fraistat,Purdom Lindblad,2
Seth Denbo,James Smith,1
Seth Denbo,Emma Millon,1
Seth Denbo,Dave Lester,1
Seth Denbo,Travis Brown,2
Seth Denbo,Elisabeth Kvernen,1
Seth Denbo,Kirsten Keister,2
Seth Denbo,Kristen Waters,1
Seth Denbo,Amanda Visconti,1
Seth Denbo,Carla Peterson,1
Seth Denbo,Doug Reside,1
James Smith,Emma Millon,1
James Smith,Dave Lester,2
James Smith,Travis Brown,2
James Smith,Elisabeth Kvernen,2
James Smith,Kirsten Keister,6
James Smith,Kristen Waters,1
James Smith,Doug Reside,2
James Smith,Tim Cole,1
James Smith,Herbert Van de Sompel ,1
James Smith,John Burns ,1
James Smith,Ron Chernich,1
James Smith,Daniel Cohen ,1
James Smith,Anna Gerber ,1
James Smith,Tom Habing,1
James Smith,Clare Llewellyn ,1
James Smith,Carole Palmer ,1
James Smith,Allen Renear ,1
James Smith,Robert Sanderson ,1
James Smith,Sean Takats ,1
James Smith,Jane Hunter ,1
James Smith,Amanda Visconti,3
James Smith,Leigh Smiley,1
James Smith,Jennifer Guiliano,3
James Smith,George Williams,2
James Smith,Cory Bohon,2
James Smith,Tina Herzberg,2
James Smith,Trevor Muñoz,2
James Smith,Hugh Cayless,1
James Smith,Clay Jeffcoat,1
James Smith,Jeremy Boggs,1
James Smith,Marty R. McKenzie,1
James Smith,Raffaele Viglianti,1
James Smith,Matt Cohen,1
James Smith,Brett Barney,1
James Smith,Keith Nickum,1
Emma Millon,Dave Lester,1
Emma Millon,Travis Brown,1
Emma Millon,Elisabeth Kvernen,1
Emma Millon,Kirsten Keister,1
Emma Millon,Kristen Waters,1
Dave Lester,Travis Brown,1
Dave Lester,Elisabeth Kvernen,6
Dave Lester,Kirsten Keister,2
Dave Lester,Kristen Waters,1
Dave Lester,Amanda Visconti,1
Dave Lester,Leigh Smiley,1
Dave Lester,Doug Reside,2
Dave Lester,Grant Dickie,1
Dave Lester,Dot Porter,1
Dave Lester,John Walsh,1
Dave Lester,Carl Stahmer,1
Dave Lester,Ketan Patil,1
Dave Lester,Gregory Lord,1
Dave Lester,Arik Lubkin,1
Dave Lester,Ralph Bauer,1
Dave Lester,Geneva Henry,1
Dave Lester,Caroline Levander,1
Dave Lester,Luis Jáuregui Frías,1
Dave Lester,Matthew Kirschenbaum,1
Dave Lester,Walker Sampson,1
Dave Lester,Charles Pinnix,1
Travis Brown,Elisabeth Kvernen,3
Travis Brown,Kirsten Keister,7
Travis Brown,Kristen Waters,1
Travis Brown,Doug Reside,3
Travis Brown,Michael Popham,1
Travis Brown,Trevor Muñoz,5
Travis Brown,Jennifer Guiliano,4
Travis Brown,David Brookshire,1
Travis Brown,Amanda Visconti,5
Travis Brown,Jessica Worley,1
Travis Brown,Raffaele Viglianti,2
Travis Brown,Elizabeth Denlinger,1
Travis Brown,Stephanie Sapienza,1
Travis Brown,Richard Ovenden,1
Travis Brown,Leslie Morris,1
Travis Brown,Wendell Piez,1
Travis Brown,Jamie Andrews,1
Travis Brown,Rachel Foss,1
Travis Brown,Frank Hildy,2
Travis Brown,Peter Mallios,1
Travis Brown,Ed Summers,1
Travis Brown,Hayim Lapin,1
Travis Brown,Gregory Lord,1
Travis Brown,Lisa Marie Antonille Rhody,1
Travis Brown,Paul Evans,1
Travis Brown,Matt Cohen,1
Travis Brown,Brett Barney,1
Travis Brown,Keith Nickum,1
Travis Brown,Abhishta Paranjpe,1
Travis Brown,Clay Templeton,1
Elisabeth Kvernen,Kirsten Keister,3
Elisabeth Kvernen,Kristen Waters,1
Elisabeth Kvernen,Doug Reside,6
Elisabeth Kvernen,Beth Bonsignore,1
Elisabeth Kvernen,Grant Dickie,2
Elisabeth Kvernen,Richard Kuhta,1
Elisabeth Kvernen,Jim Kuhn,1
Elisabeth Kvernen,Richard Ovendon,1
Elisabeth Kvernen,Michael Popham,1
Elisabeth Kvernen,Amanda Visconti,1
Elisabeth Kvernen,Leigh Smiley,1
Elisabeth Kvernen,Frank Hildy,2
Elisabeth Kvernen,Dot Porter,1
Elisabeth Kvernen,John Walsh,1
Elisabeth Kvernen,Carl Stahmer,1
Elisabeth Kvernen,Ketan Patil,1
Elisabeth Kvernen,Gregory Lord,2
Elisabeth Kvernen,Arik Lubkin,1
Elisabeth Kvernen,Ralph Bauer,1
Elisabeth Kvernen,Geneva Henry,1
Elisabeth Kvernen,Caroline Levander,1
Elisabeth Kvernen,Luis Jáuregui Frías,1
Elisabeth Kvernen,Jennifer Guiliano,1
Elisabeth Kvernen,Matthew Kirschenbaum,1
Elisabeth Kvernen,Walker Sampson,1
Elisabeth Kvernen,Charles Pinnix,1
Kirsten Keister,Kristen Waters,1
Kirsten Keister,Doug Reside,4
Kirsten Keister,Tim Cole,1
Kirsten Keister,Herbert Van de Sompel ,1
Kirsten Keister,John Burns ,1
Kirsten Keister,Ron Chernich,1
Kirsten Keister,Daniel Cohen ,1
Kirsten Keister,Anna Gerber ,1
Kirsten Keister,Tom Habing,1
Kirsten Keister,Clare Llewellyn ,1
Kirsten Keister,Carole Palmer ,1
Kirsten Keister,Allen Renear ,1
Kirsten Keister,Robert Sanderson ,1
Kirsten Keister,Sean Takats ,1
Kirsten Keister,Jane Hunter ,1
Kirsten Keister,Michael Popham,1
Kirsten Keister,Trevor Muñoz,13
Kirsten Keister,Jennifer Guiliano,11
Kirsten Keister,David Brookshire,1
Kirsten Keister,Amanda Visconti,10
Kirsten Keister,Jessica Worley,1
Kirsten Keister,Raffaele Viglianti,3
Kirsten Keister,Elizabeth Denlinger,1
Kirsten Keister,Stephanie Sapienza,4
Kirsten Keister,Richard Ovenden,1
Kirsten Keister,Leslie Morris,1
Kirsten Keister,Wendell Piez,1
Kirsten Keister,Jamie Andrews,1
Kirsten Keister,Rachel Foss,1
Kirsten Keister,Leigh Smiley,1
Kirsten Keister,Hayim Lapin,1
Kirsten Keister,Frank Hildy,1
Kirsten Keister,Gregory Lord,1
Kirsten Keister,Carla Peterson,1
Kirsten Keister,Lisa Marie Antonille Rhody,1
Kirsten Keister,George Williams,2
Kirsten Keister,Cory Bohon,2
Kirsten Keister,Tina Herzberg,2
Kirsten Keister,Hugh Cayless,1
Kirsten Keister,Megan Senseney,1
Kirsten Keister,Dorothea Salo,1
Kirsten Keister,Alison Fenlon,1
Kirsten Keister,Carole Palmer,1
Kirsten Keister,Julia Flanders,1
Kirsten Keister,Will Thomas,1
Kirsten Keister,Kaci Nash,1
Kirsten Keister,Clay Jeffcoat,1
Kirsten Keister,Jeremy Boggs,1
Kirsten Keister,Marty R. McKenzie,1
Kirsten Keister,Peter Mallios,1
Kirsten Keister,Ed Summers,3
Kirsten Keister,Nicholas Allen Slaughter ,1
Kirsten Keister,Rebecca Borden,1
Kirsten Keister,Jennifer Wellman,1
Kirsten Keister,Julie Greene,1
Kirsten Keister,Abhishta Paranjpe,1
Kirsten Keister,Clay Templeton,1
Kirsten Keister,Michelle Pridmore,1
Kirsten Keister,Porter Olsen,1
Kirsten Keister,Ben Shneiderman,1
Kirsten Keister,Laura Wruble,1
Kirsten Keister,Joshua Westgard,1
Kirsten Keister,Cody Buntain,1
Kirsten Keister,Nicolas Diakopoulos,1
Kirsten Keister,Jen Golbeck,1
Kirsten Keister,Ricky Punzalan,1
Kirsten Keister,Katie Shilton,1
Kirsten Keister,Catherine Knight Steele,1
Kirsten Keister,Bonnie Thornton Dill,1
Kirsten Keister,Sheri Parks,1
Kirsten Keister,Babak Hamidzadeh,1
Kirsten Keister,Dan Mack,1
Kirsten Keister,Doug McElrath,1
Kirsten Keister,Nathan Putnam,1
Kirsten Keister,Bria Parker,1
Kirsten Keister,Jen Eidson,1
Kirsten Keister,Curlee Holton,1
Kirsten Keister,Stephanie Maxwell,1
Kirsten Keister,Julie Green,1
Doug Reside,Beth Bonsignore,1
Doug Reside,Grant Dickie,4
Doug Reside,Richard Kuhta,1
Doug Reside,Jim Kuhn,1
Doug Reside,Richard Ovendon,1
Doug Reside,Michael Popham,2
Doug Reside,Tim Cole,1
Doug Reside,Herbert Van de Sompel ,1
Doug Reside,John Burns ,1
Doug Reside,Ron Chernich,1
Doug Reside,Daniel Cohen ,1
Doug Reside,Anna Gerber ,1
Doug Reside,Tom Habing,1
Doug Reside,Clare Llewellyn ,1
Doug Reside,Carole Palmer ,1
Doug Reside,Allen Renear ,1
Doug Reside,Robert Sanderson ,1
Doug Reside,Sean Takats ,1
Doug Reside,Jane Hunter ,1
Doug Reside,Trevor Muñoz,2
Doug Reside,Jennifer Guiliano,3
Doug Reside,David Brookshire,1
Doug Reside,Amanda Visconti,2
Doug Reside,Jessica Worley,1
Doug Reside,Raffaele Viglianti,1
Doug Reside,Elizabeth Denlinger,1
Doug Reside,Stephanie Sapienza,1
Doug Reside,Richard Ovenden,1
Doug Reside,Leslie Morris,1
Doug Reside,Wendell Piez,1
Doug Reside,Jamie Andrews,1
Doug Reside,Rachel Foss,1
Doug Reside,Dot Porter,1
Doug Reside,John Walsh,1
Doug Reside,Carl Stahmer,1
Doug Reside,Ketan Patil,1
Doug Reside,Gregory Lord,3
Doug Reside,Arik Lubkin,1
Doug Reside,Ralph Bauer,1
Doug Reside,Geneva Henry,1
Doug Reside,Caroline Levander,1
Doug Reside,Luis Jáuregui Frías,1
Doug Reside,Frank Hildy,1
Doug Reside,Matthew Kirschenbaum,1
Doug Reside,Angel David Nieves,1
Doug Reside,Bini Tecle,1
Doug Reside,Hugh Cayless,1
Doug Reside,Tanya Clement,1
Beth Bonsignore,Grant Dickie,1
Beth Bonsignore,Richard Kuhta,1
Beth Bonsignore,Jim Kuhn,1
Beth Bonsignore,Richard Ovendon,1
Beth Bonsignore,Michael Popham,1
Grant Dickie,Richard Kuhta,1
Grant Dickie,Jim Kuhn,1
Grant Dickie,Richard Ovendon,1
Grant Dickie,Michael Popham,1
Grant Dickie,Dot Porter,1
Grant Dickie,John Walsh,1
Richard Kuhta,Jim Kuhn,1
Richard Kuhta,Richard Ovendon,1
Richard Kuhta,Michael Popham,1
Jim Kuhn,Richard Ovendon,1
Jim Kuhn,Michael Popham,1
Richard Ovendon,Michael Popham,1
Michael Popham,Trevor Muñoz,1
Michael Popham,Jennifer Guiliano,1
Michael Popham,David Brookshire,1
Michael Popham,Amanda Visconti,1
Michael Popham,Jessica Worley,1
Michael Popham,Raffaele Viglianti,1
Michael Popham,Elizabeth Denlinger,1
Michael Popham,Stephanie Sapienza,1
Michael Popham,Richard Ovenden,1
Michael Popham,Leslie Morris,1
Michael Popham,Wendell Piez,1
Michael Popham,Jamie Andrews,1
Michael Popham,Rachel Foss,1
Tim Cole,Herbert Van de Sompel ,1
Tim Cole,John Burns ,1
Tim Cole,Ron Chernich,1
Tim Cole,Daniel Cohen ,1
Tim Cole,Anna Gerber ,1
Tim Cole,Tom Habing,1
Tim Cole,Clare Llewellyn ,1
Tim Cole,Carole Palmer ,1
Tim Cole,Allen Renear ,1
Tim Cole,Robert Sanderson ,1
Tim Cole,Sean Takats ,1
Tim Cole,Jane Hunter ,1
Herbert Van de Sompel ,John Burns ,1
Herbert Van de Sompel ,Ron Chernich,1
Herbert Van de Sompel ,Daniel Cohen ,1
Herbert Van de Sompel ,Anna Gerber ,1
Herbert Van de Sompel ,Tom Habing,1
Herbert Van de Sompel ,Clare Llewellyn ,1
Herbert Van de Sompel ,Carole Palmer ,1
Herbert Van de Sompel ,Allen Renear ,1
Herbert Van de Sompel ,Robert Sanderson ,1
Herbert Van de Sompel ,Sean Takats ,1
Herbert Van de Sompel ,Jane Hunter ,1
John Burns ,Ron Chernich,1
John Burns ,Daniel Cohen ,1
John Burns ,Anna Gerber ,1
John Burns ,Tom Habing,1
John Burns ,Clare Llewellyn ,1
John Burns ,Carole Palmer ,1
John Burns ,Allen Renear ,1
John Burns ,Robert Sanderson ,1
John Burns ,Sean Takats ,1
John Burns ,Jane Hunter ,1
Ron Chernich,Daniel Cohen ,1
Ron Chernich,Anna Gerber ,1
Ron Chernich,Tom Habing,1
Ron Chernich,Clare Llewellyn ,1
Ron Chernich,Carole Palmer ,1
Ron Chernich,Allen Renear ,1
Ron Chernich,Robert Sanderson ,1
Ron Chernich,Sean Takats ,1
Ron Chernich,Jane Hunter ,1
Daniel Cohen ,Anna Gerber ,1
Daniel Cohen ,Tom Habing,1
Daniel Cohen ,Clare Llewellyn ,1
Daniel Cohen ,Carole Palmer ,1
Daniel Cohen ,Allen Renear ,1
Daniel Cohen ,Robert Sanderson ,1
Daniel Cohen ,Sean Takats ,1
Daniel Cohen ,Jane Hunter ,1
Anna Gerber ,Tom Habing,1
Anna Gerber ,Clare Llewellyn ,1
Anna Gerber ,Carole Palmer ,1
Anna Gerber ,Allen Renear ,1
Anna Gerber ,Robert Sanderson ,1
Anna Gerber ,Sean Takats ,1
Anna Gerber ,Jane Hunter ,1
Tom Habing,Clare Llewellyn ,1
Tom Habing,Carole Palmer ,1
Tom Habing,Allen Renear ,1
Tom Habing,Robert Sanderson ,1
Tom Habing,Sean Takats ,1
Tom Habing,Jane Hunter ,1
Clare Llewellyn ,Carole Palmer ,1
Clare Llewellyn ,Allen Renear ,1
Clare Llewellyn ,Robert Sanderson ,1
Clare Llewellyn ,Sean Takats ,1
Clare Llewellyn ,Jane Hunter ,1
Carole Palmer ,Allen Renear ,1
Carole Palmer ,Robert Sanderson ,1
Carole Palmer ,Sean Takats ,1
Carole Palmer ,Jane Hunter ,1
Allen Renear ,Robert Sanderson ,1
Allen Renear ,Sean Takats ,1
Allen Renear ,Jane Hunter ,1
Robert Sanderson ,Sean Takats ,1
Robert Sanderson ,Jane Hunter ,1
Sean Takats ,Jane Hunter ,1
Trevor Muñoz,Jennifer Guiliano,11
Trevor Muñoz,David Brookshire,1
Trevor Muñoz,Amanda Visconti,6
Trevor Muñoz,Jessica Worley,1
Trevor Muñoz,Raffaele Viglianti,4
Trevor Muñoz,Elizabeth Denlinger,1
Trevor Muñoz,Stephanie Sapienza,4
Trevor Muñoz,Richard Ovenden,1
Trevor Muñoz,Leslie Morris,1
Trevor Muñoz,Wendell Piez,1
Trevor Muñoz,Jamie Andrews,1
Trevor Muñoz,Rachel Foss,1
Trevor Muñoz,Peter Mallios,2
Trevor Muñoz,Ed Summers,4
Trevor Muñoz,Hayim Lapin,1
Trevor Muñoz,Hugh Cayless,1
Trevor Muñoz,Megan Senseney,1
Trevor Muñoz,Dorothea Salo,1
Trevor Muñoz,Alison Fenlon,1
Trevor Muñoz,Carole Palmer,1
Trevor Muñoz,Julia Flanders,1
Trevor Muñoz,Will Thomas,1
Trevor Muñoz,Kaci Nash,1
Trevor Muñoz,Matt Cohen,1
Trevor Muñoz,Brett Barney,1
Trevor Muñoz,Keith Nickum,1
Trevor Muñoz,Nicholas Allen Slaughter ,1
Trevor Muñoz,Rebecca Borden,1
Trevor Muñoz,Jennifer Wellman,1
Trevor Muñoz,Julie Greene,1
Trevor Muñoz,Michelle Pridmore,1
Trevor Muñoz,Porter Olsen,1
Trevor Muñoz,Ben Shneiderman,1
Trevor Muñoz,Laura Wruble,1
Trevor Muñoz,Joshua Westgard,1
Trevor Muñoz,Cody Buntain,1
Trevor Muñoz,Nicolas Diakopoulos,1
Trevor Muñoz,Jen Golbeck,1
Trevor Muñoz,Ricky Punzalan,1
Trevor Muñoz,Katie Shilton,1
Trevor Muñoz,Catherine Knight Steele,1
Trevor Muñoz,Bonnie Thornton Dill,1
Trevor Muñoz,Sheri Parks,1
Trevor Muñoz,Babak Hamidzadeh,1
Trevor Muñoz,Dan Mack,1
Trevor Muñoz,Doug McElrath,1
Trevor Muñoz,Nathan Putnam,1
Trevor Muñoz,Bria Parker,1
